15 10 12
Fox 6 1 15
Wolf 1 1 15
Wolf 7 6 15
Human 9 11 15
0
Sheep 7 2 15
Guarana 3 3 15
Grass 6 9 15
Hogweed 4 10 15
Dandelion 9 0 15
Belladonna 2 4 15
Belladonna 2 5 14
Dandelion 8 0 14
Dandelion 3 1 13
Dandelion 3 2 12
Belladonna 1 5 12
Belladonna 3 5 11
Dandelion 9 1 11
Grass 7 9 11
Dandelion 9 2 10
Belladonna 4 5 10
Grass 8 9 9
Dandelion 6 0 9
Belladonna 2 6 9
Dandelion 7 3 8
Dandelion 2 2 8
Dandelion 4 2 8
Dandelion 2 1 8
Grass 6 8 8
Grass 6 7 7
Dandelion 2 0 7
Dandelion 8 3 7
Dandelion 6 2 7
Dandelion 9 3 7
Belladonna 1 4 7
Dandelion 4 1 7
Dandelion 9 4 6
Dandelion 6 3 6
Dandelion 8 4 6
Dandelion 1 0 6
Grass 7 8 6
Dandelion 5 2 6
Grass 9 9 6
Belladonna 3 6 6
Dandelion 7 0 6
Dandelion 0 0 5
Grass 5 8 5
Dandelion 4 3 5
Dandelion 2 3 5
Dandelion 7 4 5
Dandelion 7 1 5
Dandelion 1 3 4
Dandelion 5 3 4
Dandelion 8 5 4
Dandelion 1 2 4
Grass 8 8 4
Belladonna 4 6 4
Dandelion 3 0 4
Grass 5 9 4
Grass 4 9 3
Belladonna 4 7 3
Dandelion 5 4 3
Dandelion 0 3 3
Dandelion 4 4 3
Dandelion 4 0 3
Belladonna 2 7 3
Belladonna 0 5 3
Hogweed 5 10 3
Grass 8 7 2
Dandelion 0 2 2
Dandelion 6 4 2
Grass 9 8 2
Belladonna 0 4 2
Belladonna 1 6 2
Grass 8 10 2
Dandelion 8 1 2
Dandelion 6 5 1
Grass 7 7 1
Belladonna 3 7 1
Dandelion 5 5 1
Grass 4 8 1
Dandelion 0 1 1
Dandelion 5 1 1
Dandelion 5 0 1
Belladonna 3 4 1
